container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,Number of Cans,dpw_division,council_district,ward,fire_zone,x,y
1,74,2017-09-14T13:24:40,2021-11-15T02:17:20,1st Division,122 E North Ave,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,1,22,1-6,-80.00401762,40.45607267
3,74,2017-09-14T13:24:40,2021-11-12T02:29:21,1st Division,1300 Federal St,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,1,22,1-6,-80.00687163,40.45662511
4,74,2017-09-14T13:24:40,2021-11-15T02:19:24,1st Division,110 Federal St,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,1,22,1-6,-80.00625,40.45452
5,74,2017-09-19T12:22:45,2021-11-15T08:05:23,1st Division,490 E North Ave,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,1,22,1-6,-80.00208255,40.45644352
6,74,2017-09-19T12:22:46,2021-11-15T13:05:22,1st Division,1501 Brighton Rd,Pittsburgh,Pennsylvania,15212,California-Kirkbride,1,1,6,25,1-21,-80.01575801,40.45702497
7,74,2017-09-19T12:22:46,2021-11-15T02:19:27,1st Division,3113 Brighton Rd,Pittsburgh,Pennsylvania,15212,Marshall-Shadeland,1,1,1,27,1-14,-80.02904,40.47382
8,74,2017-09-19T12:22:46,2021-11-15T02:05:26,1st Division,1729 Brighton Rd,Pittsburgh,Pennsylvania,15212,California-Kirkbride,1,1,6,25,1-21,-80.016706,40.459364
9,74,2017-09-19T12:22:46,2021-11-15T02:22:24,1st Division,710 W North Ave,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,1,22,1-21,-80.01409467,40.4539686
10,74,2017-09-19T12:22:46,2021-11-15T02:19:28,1st Division,919 Fulton St,Pittsburgh,Pennsylvania,15233,Manchester,1,1,6,21,1-8,-80.0239315,40.45166308
11,74,2017-09-19T12:22:46,2021-11-14T02:15:27,1st Division,3900 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,1,26,1-15,-80.01844,40.48941
12,74,2017-09-19T12:22:46,2021-11-15T02:08:17,1st Division,2515 Preble Ave,Pittsburgh,Pennsylvania,15233,Marshall-Shadeland,1,1,1,27,1-14,-80.03675,40.46314
13,74,2017-09-19T12:22:46,2021-11-14T13:01:24,1st Division,3876 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,1,26,1-15,-80.01830412,40.48929458
15,74,2017-09-19T12:22:46,2021-11-15T02:29:23,1st Division,2344 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,1,6,26,1-12,-80.00985725,40.46755881
16,74,2017-09-19T12:22:46,2021-11-15T02:08:48,1st Division,308 Catoma Street,Pittsburgh,Pennsylvania,15212,Fineview,1,1,6,25,1-10,-80.00420064,40.46053854
17,74,2017-09-19T12:22:46,2021-11-15T02:06:26,1st Division,1438 Columbus Ave,Pittsburgh,Pennsylvania,15233,Manchester,1,1,6,21,1-8,-80.02884,40.45738
18,74,2017-09-19T12:22:46,2021-11-15T02:04:29,1st Division,2639 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry South,1,1,6,26,1-23,-80.00994486,40.47174057
19,74,2017-09-19T12:22:47,2021-11-15T02:13:23,1st Division,910 Galveston Ave,Pittsburgh,Pennsylvania,15233,Allegheny West,1,1,1,22,1-7,-80.01660954,40.4523624
20,74,2017-09-19T12:22:47,2021-11-14T02:23:24,1st Division,3957 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,1,26,1-15,-80.01977679,40.4909868
21,74,2017-09-19T12:22:47,2021-11-15T02:30:17,1st Division,2909 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,1,26,1-23,-80.01160545,40.47516151
22,74,2017-09-19T12:22:47,2021-11-15T02:17:26,1st Division,3472 Perrysville Ave,Pittsburgh,Pennsylvania,15214,Perry North,1,1,1,26,1-15,-80.01348486,40.48421285
23,74,2017-09-19T12:22:47,2021-11-15T02:17:17,1st Division,1305 Allegheny Ave,Pittsburgh,Pennsylvania,15233,Manchester,1,1,6,21,1-8,-80.01994,40.45429
24,74,2017-09-19T12:22:47,2021-11-15T02:08:22,1st Division,1414 Brighton Rd,Pittsburgh,Pennsylvania,15212,Central Northside,1,1,6,25,1-21,-80.01546,40.45676
25,74,2017-09-19T12:22:47,2021-11-12T13:22:22,1st Division,1211 Troy Hill Rd,Pittsburgh,Pennsylvania,15212,Troy Hill,1,1,1,24,1-5,-79.98943988,40.45755571
26,74,2017-09-19T12:22:47,2021-11-15T02:22:24,1st Division,2320 California Ave,Pittsburgh,Pennsylvania,15233,Marshall-Shadeland,1,1,6,21,1-9,-80.03105677,40.4621584
27,74,2017-09-19T12:22:47,2021-11-15T02:29:33,1st Division,610 E Ohio St,Pittsburgh,Pennsylvania,15212,East Allegheny,1,1,1,23,1-6,-79.99862145,40.45393704
28,74,2017-09-19T12:22:47,2021-11-15T10:05:20,1st Division,320 E North Ave,Pittsburgh,Pennsylvania,15212,Allegheny Center,1,1,1,22,1-6,-80.00298,40.45612
